"MATNR","TO_CHAR(ERDAT,'YYYYMMDD')","KWMENG","SEND_LOCID","ABC_HITS_NETWORK","ABC_COST","ABC_DEMAND","P4","END_DATE","HOSTPLANNERCODEID"
"KITPAB100","20221130","1","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211208","2","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20220906","2","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211111","2","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20230613","1","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20230928","1","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20210608","2","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211215","1","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211108","2","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211105","5","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211130","1","3002","B","C","SLOW","P","0612","032"
"KITPAB100","20211220","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200901","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200901","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200818","20","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210302","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200827","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200731","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191230","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191227","7","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191022","50","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210323","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220116","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211206","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211206","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211203","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191012","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220308","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200318","30","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211227","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211223","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211011","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211009","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200831","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20230412","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221205","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210421","6","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200619","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220118","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211117","6","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211116","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191122","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191122","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220919","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220304","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211209","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211208","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200507","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210607","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210518","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220104","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211024","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211026","4","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220106","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190814","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190703","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190702","20","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190701","50","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191202","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200312","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191016","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190904","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190903","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220901","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210416","8","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210630","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210524","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220208","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220210","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210310","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220225","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211115","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211115","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211112","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211110","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220211","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220214","7","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211008","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20201216","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200821","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200624","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220215","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220824","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210106","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20201215","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221029","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200525","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200522","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191106","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191106","50","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191106","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191105","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191105","50","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200413","21","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20201116","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20201111","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211123","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211126","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211126","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20190828","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221116","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221122","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221220","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20220104","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211014","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211013","20","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211012","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20201015","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210513","15","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20200408","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191223","6","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20191220","10","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221020","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20221026","1","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211123","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211122","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20211119","3","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210202","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210202","5","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210126","2","5001","B","C","MIDDLE","P","0612","032"
"KITPAB100","20210126","1","5001","B","C","MIDDLE","P","0612","032"
