iter	MultiRMSE
0	9719.875725
1	9483.461209
2	9253.342791
3	9018.693885
4	8795.285908
5	8572.30426
6	8349.223348
7	8148.76254
8	7943.000112
9	7751.91435
10	7559.700394
11	7381.46182
12	7196.529384
13	7024.622468
14	6853.523063
15	6697.677623
16	6540.866958
17	6394.728483
18	6262.358081
19	6129.266916
20	5996.139737
21	5860.995086
22	5724.359456
23	5596.388375
24	5468.446659
25	5344.73241
26	5224.715961
27	5112.348822
28	5001.402937
29	4895.172
30	4803.416962
31	4702.043502
32	4619.85792
33	4515.701581
34	4419.81737
35	4333.80367
36	4258.605119
37	4176.606204
38	4106.279132
39	4026.5877
40	3947.909416
41	3877.404078
42	3804.32685
43	3743.598114
44	3667.0356
45	3603.67312
46	3551.038362
47	3483.716496
48	3430.277969
49	3369.648868
50	3325.010671
51	3265.053748
52	3216.780114
53	3170.563367
54	3129.889072
55	3083.155168
56	3036.497208
57	2995.018225
58	2951.884131
59	2906.942633
60	2862.883293
61	2822.840068
62	2784.59464
63	2743.011046
64	2705.68814
65	2671.437365
66	2634.122693
67	2602.865718
68	2571.684106
69	2540.378913
70	2510.658838
71	2481.25719
72	2452.592006
73	2420.203854
74	2394.824922
75	2368.321894
76	2341.510319
77	2315.881664
78	2289.323046
79	2266.57548
80	2242.715913
81	2221.846849
82	2199.195176
83	2176.384315
84	2160.388874
85	2140.874125
86	2119.364403
87	2099.81919
88	2081.609608
89	2064.035814
90	2044.357312
91	2029.292753
92	2013.604711
93	1994.924547
94	1979.544656
95	1962.442273
96	1948.033326
97	1932.831794
98	1919.08192
99	1906.491015
100	1891.016845
101	1875.720882
102	1860.88288
103	1847.728793
104	1833.814219
105	1819.818992
106	1805.346714
107	1793.69934
108	1779.429954
109	1767.745983
110	1755.994559
111	1744.106953
112	1732.686179
113	1722.395184
114	1710.300597
115	1700.497094
116	1691.355098
117	1678.098084
118	1667.11013
119	1657.19155
120	1647.654557
121	1637.875686
122	1629.342277
123	1620.942854
124	1612.708343
125	1604.413523
126	1597.939312
127	1587.665753
128	1579.68445
129	1571.830038
130	1564.118304
131	1557.998364
132	1549.599794
133	1542.959886
134	1536.212838
135	1527.645095
136	1521.206297
137	1516.531634
138	1508.91473
139	1502.340594
140	1495.209228
141	1488.441375
142	1481.748454
143	1476.265116
144	1469.731747
145	1462.994041
146	1456.838495
147	1451.543989
148	1445.051311
149	1438.593476
150	1433.074222
151	1425.458409
152	1419.708159
153	1414.131757
154	1407.406905
155	1401.211729
156	1393.918401
157	1388.408835
158	1381.789826
159	1376.24975
160	1371.287475
161	1366.065596
162	1360.897773
163	1356.946687
164	1352.397573
165	1346.184142
166	1342.119453
167	1338.297042
168	1333.561516
169	1329.353954
170	1324.738382
171	1319.860185
172	1315.370665
173	1311.557139
174	1304.781285
175	1300.479026
176	1295.800962
177	1291.699086
178	1287.11898
179	1283.558796
180	1279.662403
181	1275.273828
182	1271.949746
183	1267.929535
184	1263.390125
185	1258.105516
186	1253.816137
187	1248.935021
188	1244.899614
189	1239.941768
190	1236.577516
191	1232.824836
192	1229.008124
193	1226.437125
194	1221.950962
195	1216.91498
196	1212.088949
197	1209.459719
198	1206.275451
199	1201.112309
200	1198.100671
201	1194.39806
202	1191.853399
203	1187.763717
204	1184.991943
205	1181.297467
206	1177.571999
207	1173.788039
208	1170.049206
209	1165.658814
210	1160.673624
211	1156.776996
212	1152.941723
213	1148.157141
214	1143.667428
215	1141.187709
216	1139.753979
217	1136.608865
218	1132.590413
219	1129.582405
220	1125.031617
221	1121.231639
222	1117.684446
223	1114.702985
224	1111.192016
225	1108.171988
226	1105.435767
227	1102.594282
228	1098.583722
229	1095.936103
230	1092.807685
231	1089.637364
232	1086.554184
233	1082.447728
234	1079.6987
235	1076.067501
236	1073.122577
237	1070.070796
238	1066.813945
239	1064.660021
240	1061.276486
241	1058.758921
242	1055.907539
243	1052.259283
244	1049.287004
245	1047.28546
246	1043.933927
247	1040.452799
248	1037.561104
249	1034.305069
250	1031.041529
251	1027.848275
252	1024.853248
253	1023.153858
254	1019.302046
255	1017.413236
256	1014.894482
257	1011.091034
258	1009.364433
259	1007.341423
260	1005.123044
261	1002.565609
262	999.6331347
263	996.9468065
264	993.7017765
265	989.6568918
266	986.7950396
267	983.5229425
268	980.8906188
269	978.679648
270	975.9351334
271	973.5464566
272	971.2882057
273	968.854938
274	966.8215211
275	964.6063656
276	961.7864688
277	958.8828577
278	956.3757172
279	954.4567438
280	951.9083746
281	948.6504826
282	945.9507718
283	942.969693
284	940.8364196
285	938.1423142
286	935.9499918
287	933.3398203
288	931.5995185
289	929.9033058
290	926.9000247
291	924.6832809
292	922.36264
293	920.6112287
294	918.2697144
295	916.063308
296	914.039126
297	912.1406129
298	909.7525652
299	907.7986012
300	905.6681099
301	904.4786069
302	902.5276401
303	900.5757447
304	897.5059964
305	895.2775679
306	892.9425995
307	891.2194304
308	888.0116434
309	886.2335419
310	884.4335117
311	882.4466905
312	880.8311568
313	879.3191407
314	877.2472638
315	874.9685018
316	872.3377816
317	870.1520644
318	868.0828154
319	866.5695358
320	863.9641885
321	861.5896241
322	859.6541354
323	856.9756699
324	855.2280036
325	853.4186403
326	851.3994018
327	849.1433735
328	846.8784869
329	844.6361473
330	842.9185989
331	840.6522943
332	838.8957318
333	837.0522792
334	835.685188
335	833.8482715
336	831.5707715
337	829.5208248
338	827.6935203
339	825.5699046
340	823.8103317
341	822.1283998
342	820.189428
343	818.1531656
344	816.3979614
345	814.1890979
346	812.8514301
347	811.3241858
348	809.7552041
349	807.6643461
350	805.4345746
351	803.378798
352	801.6461143
353	799.3183798
354	797.5538243
355	795.5940131
356	793.9303006
357	791.9227997
358	790.0498577
359	788.182645
360	786.2118407
361	784.2340049
362	782.3718338
363	780.1747118
364	778.6811469
365	777.242212
366	775.3204679
367	773.6361327
368	771.7476973
369	769.3798638
370	767.1778707
371	765.2249149
372	763.6295558
373	761.8657651
374	760.2345939
375	758.5942498
376	756.6779853
377	754.9608483
378	753.2094991
379	751.8936762
380	750.0911111
381	748.3008017
382	746.1156349
383	744.5542202
384	743.1329792
385	741.5181444
386	740.2727892
387	738.7156114
388	736.4705633
389	734.5233455
390	733.3706819
391	731.902325
392	730.4715161
393	728.4934015
394	726.2605172
395	725.3338329
396	724.1318884
