iter	Passed	Remaining
0	375	374847
1	583	291096
2	781	259583
3	1029	256443
4	1282	255295
5	1442	238991
6	1581	224307
7	1769	219426
8	1959	215807
9	2134	211290
10	2317	208369
11	2455	202191
12	2614	198519
13	2793	196746
14	2914	191385
15	3112	191411
16	3420	197763
17	3584	195544
18	3804	196418
19	3978	194944
20	4129	192493
21	4315	191860
22	4443	188731
23	4589	186637
24	4738	184813
25	5005	187530
26	5159	185936
27	5448	189130
28	5681	190243
29	6008	194290
30	6344	198305
31	6500	196629
32	6665	195328
33	6913	196418
34	7078	195173
35	7250	194142
36	7411	192898
37	7590	192153
38	7780	191710
39	8019	192478
40	8252	193024
41	8583	195781
42	8755	194863
43	8963	194753
44	9185	194927
45	9386	194670
46	9546	193580
47	9851	195385
48	10369	201244
49	10741	204087
50	10910	203021
51	11115	202647
52	11281	201575
53	11449	200582
54	11627	199775
55	11830	199431
56	12004	198606
57	12183	197875
58	12371	197320
59	12529	196302
60	12684	195261
61	12898	195139
62	13059	194239
63	13269	194071
64	13540	194776
65	13742	194475
66	14063	195845
67	14371	196976
68	14528	196030
69	14749	195951
70	15073	197233
71	15310	197338
72	15505	196898
73	15701	196481
74	15925	196410
75	16131	196121
76	16319	195616
77	16497	195005
78	16648	194089
79	16858	193871
80	17027	193183
81	17190	192454
82	17349	191679
83	17521	191068
84	17679	190317
85	17906	190306
86	18123	190191
87	18423	190935
88	18593	190325
89	18925	191358
90	19107	190869
91	19283	190322
92	19443	189622
93	19659	189481
94	19853	189132
95	20039	188709
96	20203	188080
97	20394	187709
98	20538	186921
99	20697	186273
100	20874	185800
101	21050	185322
102	21376	186160
103	21909	188755
104	22203	189256
105	22427	189149
106	22598	188605
107	22815	188442
108	23010	188096
109	23210	187794
110	23397	187389
111	23579	186953
112	23751	186435
113	23946	186112
114	24109	185535
115	24334	185444
116	24503	184926
117	24672	184416
118	24830	183826
119	25069	183844
120	25227	183266
121	25395	182765
122	25572	182331
123	25742	181856
124	25922	181459
125	26107	181092
126	26310	180861
127	26483	180415
128	26650	179945
129	26843	179646
130	27020	179241
131	27194	178825
132	27351	178301
133	27517	177836
134	27676	177335
135	27892	177197
136	28052	176707
137	28373	177230
138	28592	177107
139	28880	177410
140	29173	177729
