"PARTNUMBER","HOSTLOCID","ERDAT","KWMENG"
"02E300066L 00V","1000-1","202001","1.381255"
"02E300066L 00V","1000-1","202003","0.021871"
"02E300066L 00V","1000-1","202004","0.426139"
"02E300066L 00V","1000-1","202006","1.753333"
"02E300066L 00V","1000-1","202011","1.12"
"02E300066L 00V","1000-1","202104","1.01"
"02E300066L 00V","1000-1","202110","1.8"
"02E300066L 00V","1000-1","202201",""
"02E300066L 00V","1000-1","202207","0.166667"
"02E300066L 00V","1000-1","202303","0.605147"
"02E300066L 00V","1000-1","202312","1.37"
"02E300066L 00V","1000-1","202402","1.37"
"02E300066L 00V","1000-1","202405","1.37"
"02E300066L 00V","1000-1","202406","1.37"
"02E300066L 00V","3001","201802","0.238095"
"02E300066L 00V","3001","201804","0.380952"
"02E300066L 00V","3001","201807","1.071429"
"02E300066L 00V","3001","201809","1.866667"
"02E300066L 00V","3001","201903","2.244875"
"02E300066L 00V","3001","201910","1.034074"
"02E300066L 00V","3001","202007","0.666667"
"02E300066L 00V","3001","202106","0.166667"
"02E300066L 00V","3001","202202","0.333333"
"02E300066L 00V","5001","201904","2.536727"
"02E300066L 00V","5001","201911","3.26652"
"02E300066L 00V","5001","202001","4.791209"
"02E300066L 00V","5001","202101","5.25"
"02E300066L 00V","5001","202202","2.04"
"02E300066L 00V","5001","202203","0.896667"
"02E300066L 00V","5001","202206","1.43"
"02E300066L 00V","5001","202208","1.093333"
"02E300066L 00V","5001","202209","0.943333"
"02E300066L 00V","6000","201804","0.333333"
"02E300066L 00V","6000","201806","0.380952"
"02E300066L 00V","6000","201812","2.127273"
"02E300066L 00V","6000","201903","1.813187"
"02E300066L 00V","6000","202001","11.718376"
"02E300066L 00V","6000","202104","6.336667"
"02E300066L 00V","8011","201803","1.333333"
"02E300066L 00V","8011","201906","0.833333"
"02E300066L 00V","8011","202001","1.666667"
"02E300066L 00V","8011","202003","2.25"
"02E300066L 00V","8011","202005","1.25"
"02E300066L 00V","8011","202007","1.5"
"02E300066L 00V","8011","202008","2.5"
"02E300066L 00V","8011","202011","1.996667"
"02E300066L 00V","8011","202105","1.25"
"02E300066L 00V","8011","202108","2.25"
"02E300066L 00V","8011","202110","1.5"
"02E300066L 00V","8012","201907","3.048387"
"02E300066L 00V","8012","201908","4.790323"
"02E300066L 00V","8012","202201","0.159779"
"02E300066L 00V","8013","201806","1.5"
"02E300066L 00V","8013","201807","0.9"
"02E300066L 00V","8013","201812","0.911111"
"02E300066L 00V","8013","202005","1.38"
"02E300066L 00V","8013","202104","2.001451"
"02E300066L 00V","8013","202210","1.226667"
"02E300066L 00V","8015","201810","0.333333"
"02E300066L 00V","8015","201902","1.238095"
"02E300066L 00V","8015","201908","0.782051"
"02E300066L 00V","8015","202008","1.14"
"02E300066L 00V","8015","202010","1.063333"
"02E300066L 00V","8015","202104","1.096667"
"02E300066L 00V","8015","202204","0.166667"
"02E300066L 00V","8021","201810","2.563636"
"02E300066L 00V","8021","201812","4.307692"
"02E300066L 00V","8021","201908","13.726803"
"02E300066L 00V","8021","202005","12.234321"
"02E300066L 00V","8022","201907","2.75"
"02E300066L 00V","8022","202105","1.757537"
"02E300066L 00V","8022","202112","2.5"
"02E300066L 00V","8023","201806","4.095238"
"02E300066L 00V","8023","201810","2.981818"
"02E300066L 00V","8023","201904","4"
"02E300066L 00V","8023","201909","5.675824"
"02E300066L 00V","8023","202001","9.65847"
"02E300066L 00V","8023","202008","10.558956"
"02E300066L 00V","8023","202109","4.208261"
"02E300066L 00V","8023","202205","0"
"02E300066L 00V","8023","202206","0.963152"
"02E300066L 00V","8023","202207","6.26"
"02E300066L 00V","8025","201805","0.5"
"02E300066L 00V","8025","201812","1.833333"
"02E300066L 00V","8025","201903","1.752381"
"02E300066L 00V","8031","201810","0.464286"
"02E300066L 00V","8031","201906","0.108333"
"02E300066L 00V","8031","201907","0.095588"
"02E300066L 00V","8031","201908","0.084967"
"02E300066L 00V","8031","202109","0"
"02E300066L 00V","5002","201811","1.909091"
"02E300066L 00V","5002","201901","2.208791"
"02E300066L 00V","5002","201910","6.622582"
"02E300066L 00V","5002","202001","8.081467"
"02E300066L 00V","5002","202011","6.316401"
"02E300066L 00V","5002","202108","2.322581"
"02E300066L 00V","5002","202112","1.629032"
"02E300066L 00V","5002","202202","0.555064"
"02E300066L 00V","5002","202207","1.736667"
"02E300066L 00V","5002","202209","1.33"
"03C907660S","1000-1","201905","0.253333"
"03C907660S","1000-1","201908","0.32"
"03C907660S","1000-1","201909","0.293333"
"03C907660S","1000-1","202004","0.166667"
"03C907660S","1000-1","202107","5.940383"
"03C907660S","1000-1","202204","32.660608"
"03C907660S","1000-1","202207","35.788513"
"03C907660S","1000-1","202209","62.497068"
"03C907660S","1000-1","202306","0.322581"
"03C907660S","1000-1","202310","11.793333"
"03C907660S","1000-1","202312","10.103333"
"03C907660S","1000-1","202406","10.103333"
"03C907660S","1000-1","202407","10.103333"
"03C907660S","3001","201809","0.166667"
